AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.19550769,0.018367134,0.010156507,0.1932677,0.04924301,0.18495257,0.12502694,0.11064284,0.11283568,2024-12-16
0.19362168,0.02935786,0.020066472,0.19022973,0.041449245,0.18440971,0.120478146,0.11201387,0.10837326,2024-12-17
0.19550054,0.017885236,0.012068372,0.19312674,0.047702678,0.18574025,0.12335893,0.109684505,0.11493276,2024-12-18
0.1995433,0.012527338,0.013838514,0.19697957,0.046084844,0.18975885,0.119216464,0.103286214,0.118764974,2024-12-19
0.19575055,0.018600173,0.015449725,0.19312559,0.045328278,0.18655509,0.121889636,0.107713334,0.115587585,2024-12-20
0.19586696,0.01463024,0.017246349,0.19335936,0.04538822,0.1878388,0.12046079,0.105152555,0.12005672,2024-12-23
0.1956176,0.0142737245,0.013707249,0.1933559,0.04764706,0.18697225,0.12201895,0.10643986,0.11996744,2024-12-24
0.19545999,0.018927652,0.013769516,0.19292417,0.046453446,0.18625373,0.121954754,0.10901671,0.115239985,2024-12-26
0.19827221,0.01524384,0.013373092,0.19563083,0.046219073,0.18867357,0.11976986,0.1055494,0.11726806,2024-12-27
0.19978927,0.0147162825,0.013665552,0.19703394,0.045573726,0.1897632,0.11858692,0.10383812,0.11703293,2024-12-30
0.20042533,0.017101156,0.017069401,0.19721083,0.042605974,0.19062193,0.11669853,0.1030981,0.11516877,2024-12-31
0.2014361,0.011071112,0.013613364,0.19868717,0.045907207,0.19158693,0.1167041,0.10054907,0.120444946,2025-01-02
0.20128015,0.00978014,0.011495291,0.19883801,0.048015155,0.1909356,0.11793145,0.100700006,0.121024214,2025-01-03
0.19784017,0.017720856,0.012957941,0.19515409,0.046015475,0.18774329,0.12103001,0.107338,0.11420017,2025-01-06
0.19632453,0.019574318,0.014450515,0.1936455,0.045501146,0.1867092,0.121840455,0.108425654,0.113528706,2025-01-07
0.19887085,0.010155288,0.008763044,0.19692811,0.051568266,0.18813494,0.12230288,0.10387212,0.11940455,2025-01-08
0.19903246,0.011244141,0.010369427,0.19680268,0.04853171,0.18899207,0.121038444,0.103932135,0.12005694,2025-01-10
0.19942905,0.00866225,0.00818025,0.19752716,0.050430425,0.18883578,0.12237619,0.103515364,0.1210435,2025-01-13
0.1988509,0.001472946,0.0011937019,0.19793278,0.05867125,0.18762112,0.12525998,0.102065355,0.12693197,2025-01-14
0.19948131,0.0021377343,0.0011947724,0.19847313,0.058224995,0.18800485,0.1249642,0.10189031,0.12562871,2025-01-15
0.19791925,0.0029701884,0.0019166208,0.19674733,0.057158615,0.1872376,0.12575653,0.10458891,0.12570497,2025-01-16
0.19946961,-0.0004889653,-0.00060826587,0.19874483,0.060620036,0.187868,0.12575245,0.10113765,0.12750463,2025-01-17
0.19740786,0.006677016,0.0049060285,0.19592048,0.05484281,0.18726034,0.12456135,0.10482066,0.12360347,2025-01-21
0.19538444,0.013426508,0.00696334,0.1936918,0.05338922,0.18495516,0.12627192,0.108600385,0.117317215,2025-01-22
0.19624312,0.017206771,0.012883505,0.19383578,0.047756433,0.18647358,0.12215781,0.10719949,0.116243586,2025-01-23
0.19853751,0.0065350146,0.0068585793,0.19685654,0.05314576,0.1885315,0.1228105,0.10279453,0.12393004,2025-01-24
0.20032877,0.0058121453,0.006967181,0.19853343,0.052506533,0.1899812,0.12084009,0.101010256,0.1240204,2025-01-27
0.1969856,-0.0008876429,-0.0024600907,0.1967994,0.066022635,0.18515274,0.12796053,0.10198205,0.12844472,2025-01-28
0.19605553,0.012005792,0.0112452805,0.19409104,0.051031157,0.18681462,0.12294474,0.10518501,0.120626785,2025-01-29
