,date,rf_daily
424,2022-08-19,0.00010872424803489334
425,2022-08-22,0.0001118985010339699
426,2022-08-23,0.0001111049387288142
427,2022-08-24,0.0001118985010339699
428,2022-08-25,0.0001142791841709972
429,2022-08-26,0.00011467596414281394
430,2022-08-29,0.000117850198249724
431,2022-08-30,0.000117850198249724
432,2022-08-31,0.00011745341953737805
433,2022-09-01,0.000117850198249724
434,2022-09-02,0.00011665986164038579
435,2022-09-05,
436,2022-09-06,0.00012062764482802071
437,2022-09-07,0.00012181797671437351
438,2022-09-08,0.0001214211995763548
439,2022-09-09,0.00012221475369496022
440,2022-09-12,0.00012578573943581957
441,2022-09-13,0.00013015026024615928
442,2022-09-14,0.00012856316397369267
443,2022-09-15,0.0001277696148928803
444,2022-09-16,0.00012697606518234737
445,2022-09-19,0.00013372121764960095
446,2022-09-20,0.00013292767266194844
447,2022-09-21,0.00013134058079750005
448,2022-09-22,0.0001305470339207021
449,2022-09-23,0.00012856316397369267
450,2022-09-26,0.00013451476200754028
451,2022-09-27,0.00013292767266194844
452,2022-09-28,0.00013491153395036784
453,2022-09-29,0.00013332444523448888
454,2022-09-30,0.00013213412704458184
455,2022-10-03,0.00013729216230135133
456,2022-10-04,0.00013689539130308937
457,2022-10-05,0.00013729216230135133
458,2022-10-06,0.00013729216230135133
459,2022-10-07,0.00013689539130308937
460,2022-10-10,
461,2022-10-11,0.0001456243168993701
462,2022-10-12,0.00014681461903177668
463,2022-10-13,0.000150385516928105
464,2022-10-14,0.0001511790480622991
465,2022-10-17,0.00015752727446705395
466,2022-10-18,0.0001603046108467303
467,2022-10-19,0.00016149489550529037
468,2022-10-20,0.00016228841782389914
469,2022-10-21,0.00016228841782389914
470,2022-10-24,0.00016506574098032868
471,2022-10-25,0.00016427222086558564
472,2022-10-26,0.00016308193951283077
473,2022-10-27,0.00016387546057208618
474,2022-10-28,0.00016585926046539806
475,2022-10-31,0.00016744629754651978
476,2022-11-01,0.00016784305642325578
477,2022-11-02,0.00016744629754651978
478,2022-11-03,0.00016863657370447515
479,2022-11-04,0.0001670495385123662
480,2022-11-07,0.0001702236063779074
481,2022-11-08,0.00016982684844567487
482,2022-11-09,0.0001702236063779074
483,2022-11-10,0.00016982684844567487
484,2022-11-11,
485,2022-11-14,0.0001722073936778208
486,2022-11-15,0.00017101712177012226
487,2022-11-16,0.00017141387923010483
488,2022-11-17,0.00017141387923010483
489,2022-11-18,0.0001722073936778208
490,2022-11-21,0.0001749846892862239
491,2022-11-22,0.00017458793324298463
492,2022-11-23,0.00017458793324298463
493,2022-11-24,
494,2022-11-25,0.0001749846892862239
495,2022-11-28,0.0001749846892862239
496,2022-11-29,0.00017379442068425968
497,2022-11-30,0.0001733976641687738
498,2022-12-01,0.00017181063653267097
499,2022-12-02,0.0001722073936778208
500,2022-12-05,0.0001730009074958721
501,2022-12-06,0.0001733976641687738
502,2022-12-07,0.0001702236063779074
503,2022-12-08,0.00016982684844567487
504,2022-12-09,0.00017101712177012226
505,2022-12-12,0.00017379442068425968
506,2022-12-13,0.00017260415066555444
507,2022-12-14,0.00017181063653267097
508,2022-12-15,0.0001722073936778208
509,2022-12-16,0.00017101712177012226
510,2022-12-19,0.0001733976641687738
511,2022-12-20,0.00017260415066555444
512,2022-12-21,0.00017181063653267097
513,2022-12-22,0.00017260415066555444
514,2022-12-23,0.0001722073936778208
515,2022-12-26,
516,2022-12-27,0.00017696846714119333
517,2022-12-28,0.00017696846714119333
518,2022-12-29,0.0001765717118850293
519,2022-12-30,0.00017538144517204786
520,2023-01-02,
521,2023-01-03,0.00017974574952673786
522,2023-01-04,0.00018053925736302451
